LACM 10140,86.7,89.98,L1-L5,Temblor
LACM 10147,90.2,94.33,L1-L3,Temblor
LACM 10148.1,97.1,86.07,l1-l2,Temblor
LACM 10148.2,44.2,51.21,L4-L7,Temblor
LACM 10149,85.8,89.7,L1-L3,Temblor
LACM 115396,103.8,94.51,L1-L3,Temblor
LACM 123651,80.6,84.58,L1-L5,Temblor
LACM 129862,81.86,102.76,L1-L5,Temblor
LACM 129863,102.4,106.54,A1-A2,Temblor
LACM 133455,73.5,84.83,A1-A2,Temblor
LACM 149395,74,66.03,a1-a2,Temblor
LACM 149396,89.3,88.05,L1-L6,Temblor
LACM 149397,99.8,92.75,a1-a2,Temblor
LACM 149398,96.9,,a1-a2,Temblor
LACM 149518,63.8,58.42,a1-a2,Temblor
LACM 149519,49.7,68.44,L1-L6,Temblor
LACM 149520,72.1,82.91,L1-L6,Temblor
LACM 149522,90.5,,L1-L4,Temblor
LACM 156332,83.4,92.11,A1-A2,Temblor
LACM 156333,50.3,61.23,L1-L5,Temblor
LACM 58926,62.3,64.96,l1-l3,Temblor
LACM 58928,79.8,81.28,a1-a2,Temblor
LACM 59060,63.88,65.19,L1-L3,Temblor
SDNHM 99741,95.3,101.96,A1-A2,Temblor
SDNHM 99773,18.4,33.78,L6-L8,Temblor
SDNHM 99774,79.3,,L1-L3,Temblor
SDNHM 99776,110.6,108.14,A1-A2,Temblor
UCMP 190987,89.21,107.8,A1-A2,Temblor
UCMP 23876,88.94,,A1-A2,Temblor
UCMP 65586,92.64,111.02,A1-A2,Temblor
UCMP 81659,98.21,101.49,A1-A2,Temblor
UCMP 81660,69.55,64.41,a1-a2,Temblor
LACM 29065,43.5,42.86,L1-L3,Tirabuzon
LACM 29076,32.9,,L1-L3,Tirabuzon
LACM 129670,67.08,,L1-L3,Topanga
SDNHM 14013,102.2,,A1-A2,Topanga
SDNHM 14015,43.1,,L4-L7,Topanga
P27667,90.02,71.45,A1-A2,Wanganui
LACM 10041,43.5,46.4,l1-l5,Yorktown
LACM 10042,61.9,62.42,L1-L5,Yorktown
LACM 10043,55.1,58.24,A1-A2,Yorktown
LACM 10044,36.6,50.31,L3-L6,Yorktown
LACM 10046,31.8,42.99,L3-L6,Yorktown
LACM 10047,52.3,51.72,a1-a2,Yorktown
LACM 10049,46.6,50.19,L3-L7,Yorktown
LACM 10050,52.4,57.13,L1-L3,Yorktown
LACM 10051,59.9,57.43,a1-a2,Yorktown
LACM 10052,20.9,26.77,l1-l5,Yorktown
LACM 10053,51.9,51.66,a1-a2,Yorktown
LACM 10054,63.3,67.98,a1-a2,Yorktown
LACM 10055,59.1,72.57,L1-L3,Yorktown
LACM 10056,83.7,81.41,L1-L3,Yorktown
LACM 10057,59.9,53.5,L1-L5,Yorktown
LACM 10059,33.3,54.78,L5-L7,Yorktown
LACM 10061,33.3,50.11,L1-L7,Yorktown
LACM 10062,42.2,46.22,L1-L7,Yorktown
LACM 10063,83.7,80.03,"L1-L3, l1-l3",Yorktown
LACM 10064,28.2,32.82,a1-a2,Yorktown
LACM 10066,41.3,50.57,"L3-L7,l3-l7",Yorktown
LACM 10067,19.1,27.92,L5-L7,Yorktown
LACM 10068,61.5,43.82,a1-a2,Yorktown
LACM 10070,48.5,51.25,L1-L5,Yorktown
LACM 10071,41.8,41.71,A1-A2,Yorktown
LACM 11180,23.6,31.01,l3-l7,Yorktown
USNM 175642,71.14,69.93,l1-l4,Yorktown
USNM 256331,71.22,73.22,L1-L4,Yorktown
USNM 256334,61.59,65.13,L1-L3,Yorktown
USNM 279258,82.64,86.87,A1-A2,Yorktown
USNM 279259,68.46,68.55,l1-l3,Yorktown
USNM 279260,58.61,60.29,L1-L3,Yorktown
USNM 279261,58.49,72.88,l2-l4,Yorktown
USNM 279262,45.71,56.59,L1-L3,Yorktown
USNM 279267,62.65,55.56,a1-a3,Yorktown
USNM 279279,51.8,51.92,a1-l3,Yorktown
USNM 279280,51.66,50.64,l1-l2,Yorktown
USNM 279281,52.41,55.79,l1-l5,Yorktown
USNM 279282,59.06,53.56,l1-l3,Yorktown
USNM 279283,50.54,53.54,A1-A2,Yorktown
USNM 279288,50.67,51.87,A1-A2  ,Yorktown
USNM 279407,46.35,37.87,a1-a3,Yorktown
USNM 279415,73.87,71.51,A1-A2,Yorktown
USNM 279424,56.08,60.02,A1-A2,Yorktown
USNM 279425,51.2,69.14,L1-L4,Yorktown
USNM 279432,79.26,62.96,A1-A2,Yorktown
USNM 281392,101.12,90.25,a1-a3,Yorktown
USNM 287699,54.43,49.93,l1-l3,Yorktown
USNM 287708,41.24,46.38,A1-A2,Yorktown
USNM 287709,63.35,72.84,a1-a3,Yorktown
USNM 292978,61.26,71.37,L1-L3,Yorktown
USNM 292990,51.27,50.99,a1-a2,Yorktown
USNM 293746,44.37,45.54,l1-l5,Yorktown
USNM 293748,46.7,59.3,L1-L5,Yorktown
USNM 293752,49.64,60.49,L1-L5,Yorktown
USNM 293754,49.25,50.86,a1-a2,Yorktown
USNM 293758,69.46,84.35,L1-L5,Yorktown
USNM 295339,73.19,67.97,l1-l3,Yorktown
USNM 299740,102.04,107.88,A1-A2,Yorktown
USNM 339918,84.55,96.59,a1-l1,Yorktown
